,Date de comptage,Comptage horaire 2018,Comptage horaire 2019,Comptage horaire 2020,Comptage horaire 2021
0,January,6.242922720317201,9.6304567761784,23.008221326164872,41.9480199887873
1,February,4.982096351754956,11.793360974389303,15.2388093575419,46.36041470199925
2,March,8.800259730945946,11.61626902430792,10.512081468866182,60.24500999794914
3,April,12.074048814074066,12.63296049580073,4.458873456790124,56.97840177133655
4,May,12.907547661865514,12.220798463325188,19.51620149897581,58.35456201756132
5,June,15.28711270121601,14.221031267722557,30.081308760683758,78.17480546291884
6,July,13.402486521603864,15.860307160814912,28.596539272963323,64.60532945736435
7,August,9.539974043824126,12.246371560934366,19.12258823651109,49.659062980030725
8,September,16.114387736040502,19.47253570144365,32.33127288842138,84.04581808563604
9,October,16.94793072251603,16.431601080481393,22.774213027894653,70.143710680001
10,November,12.214634209090457,12.34090615350241,15.810987440812156,60.757035410797094
11,December,9.496746170461805,23.64934168216821,14.482757789603578,48.02999416487503
